genes_ss,total_rxns,total_genes,targeted_rxns,targeted_genes,targeted_drugs,targeted_drugs_names,targeted_genes_names,target_gene_ratio,target_rxn_ratio
"Androgen and estrogen synthesis and metabolism",19,46,4,15,24,Abemaciclib; Alpelisib; Anastrozole; Capecitabine; Cyclophosphamide; Docetaxel; Everolimus; Exemestane; Fulvestrant; Ixabepilone; Letrozole; Megestrol acetate; Methotrexate; Neratinib; Olaparib; Paclitaxel; Palbociclib; Ribociclib; Thiotepa; Toremifene; Trastuzumab; Trastuzumab deruxtecan; Trastuzumab emtansine; Tucatinib,1543; 1544; 1545; 1548; 1551; 1555; 1557; 1558; 1559; 1562; 1565; 1576; 1577; 1586; 1588,0.326086956521739,0.210526315789474
"Arachidonic acid metabolism",27,48,17,17,24,Abemaciclib; Alpelisib; Anastrozole; Capecitabine; Cyclophosphamide; Docetaxel; Everolimus; Exemestane; Fulvestrant; Ixabepilone; Letrozole; Megestrol acetate; Methotrexate; Neratinib; Olaparib; Paclitaxel; Palbociclib; Ribociclib; Thiotepa; Toremifene; Trastuzumab; Trastuzumab deruxtecan; Trastuzumab emtansine; Tucatinib,1543; 1544; 1545; 1548; 1551; 1555; 1557; 1558; 1559; 1562; 1565; 1576; 1577; 1588; 2053; 239; 246,0.354166666666667,0.62962962962963
"Arginine and proline metabolism",31,39,1,1,1,Methotrexate,216,0.0256410256410256,0.032258064516129
"Beta-Alanine metabolism",8,20,1,1,1,Methotrexate,216,0.05,0.125
"Bile acid synthesis",164,58,43,7,21,Abemaciclib; Alpelisib; Anastrozole; Cyclophosphamide; Docetaxel; Everolimus; Exemestane; Fulvestrant; Ixabepilone; Letrozole; Megestrol acetate; Methotrexate; Neratinib; Olaparib; Paclitaxel; Palbociclib; Ribociclib; Thiotepa; Toremifene; Trastuzumab deruxtecan; Trastuzumab emtansine,1576; 54659; 6822; 7364; 85320; 8647; 8714,0.120689655172414,0.26219512195122
"Cholesterol metabolism",236,38,4,2,1,Pamidronate,2224; 9453,0.0526315789473684,0.0169491525423729
"Citric acid cycle",19,35,2,1,1,Paclitaxel,3417,0.0285714285714286,0.105263157894737
"Cytochrome metabolism",15,24,8,9,23,Abemaciclib; Alpelisib; Anastrozole; Capecitabine; Cyclophosphamide; Docetaxel; Everolimus; Exemestane; Fulvestrant; Ixabepilone; Letrozole; Megestrol acetate; Methotrexate; Neratinib; Olaparib; Paclitaxel; Palbociclib; Ribociclib; Thiotepa; Toremifene; Trastuzumab deruxtecan; Trastuzumab emtansine; Tucatinib,1548; 1557; 1558; 1559; 1562; 1565; 1576; 1577,0.375,0.533333333333333
"D-alanine metabolism",2,3,1,1,1,Methotrexate,6566,0.333333333333333,0.5
"Drug metabolism",173,55,146,25,24,Abemaciclib; Alpelisib; Anastrozole; Capecitabine; Cyclophosphamide; Docetaxel; Everolimus; Exemestane; Fulvestrant; Ixabepilone; Letrozole; Megestrol acetate; Methotrexate; Neratinib; Olaparib; Paclitaxel; Palbociclib; Ribociclib; Sacituzumab govitecan; Thiotepa; Toremifene; Trastuzumab deruxtecan; Trastuzumab emtansine; Tucatinib,10257; 10599; 10864; 11309; 1244; 1548; 1557; 1558; 1559; 1562; 1565; 1576; 1577; 316; 5243; 54657; 54658; 54659; 6566; 6579; 7364; 8647; 8714; 9356; 9429,0.454545454545455,0.84393063583815
"Eicosanoid metabolism",46,43,4,3,3,Cyclophosphamide; Methotrexate; Thiotepa,239; 246; 3248,0.0697674418604651,0.0869565217391304
"Fatty acid oxidation",843,105,50,2,4,Abemaciclib; Everolimus; Methotrexate; Paclitaxel,1565; 3028,0.019047619047619,0.0593119810201661
"Fatty acid synthesis",202,61,2,1,2,Methotrexate; Paclitaxel,3028,0.0163934426229508,0.0099009900990099
"Folate metabolism",59,15,47,4,1,Methotrexate,1719; 2356; 4524; 8836,0.266666666666667,0.796610169491525
"Glycerophospholipid metabolism",149,139,1,1,1,Thiotepa,590,0.00719424460431655,0.00671140939597315
"Glycolysis/gluconeogenesis",42,101,1,1,1,Methotrexate,216,0.0099009900990099,0.0238095238095238
"Glycosphingolipid metabolism",62,54,1,1,1,Methotrexate,2717,0.0185185185185185,0.0161290322580645
"Glyoxylate and dicarboxylate metabolism",10,39,1,1,1,Methotrexate,216,0.0256410256410256,0.1
"Histidine metabolism",10,24,1,1,1,Methotrexate,216,0.0416666666666667,0.1
"Inositol phosphate metabolism",46,106,4,4,1,Alpelisib,5290; 5291; 5293; 5294,0.0377358490566038,0.0869565217391304
"Limonene and pinene degradation",3,2,3,2,8,Abemaciclib; Alpelisib; Anastrozole; Capecitabine; Cyclophosphamide; Letrozole; Megestrol acetate; Paclitaxel,1557; 1559,1,1
"Linoleate metabolism",4,31,4,16,24,Abemaciclib; Alpelisib; Anastrozole; Capecitabine; Cyclophosphamide; Docetaxel; Everolimus; Exemestane; Fulvestrant; Ixabepilone; Letrozole; Megestrol acetate; Methotrexate; Neratinib; Olaparib; Paclitaxel; Palbociclib; Ribociclib; Thiotepa; Toremifene; Trastuzumab; Trastuzumab deruxtecan; Trastuzumab emtansine; Tucatinib,1543; 1544; 1545; 1548; 1551; 1555; 1557; 1558; 1559; 1562; 1565; 1576; 1577; 1588; 2053; 246,0.516129032258065,1
"Lysine metabolism",17,46,3,1,2,Methotrexate; Paclitaxel,4297,0.0217391304347826,0.176470588235294
"Miscellaneous",118,132,11,4,5,Capecitabine; Fulvestrant; Methotrexate; Paclitaxel; Sacituzumab govitecan,1066; 2717; 3417; 54658,0.0303030303030303,0.0932203389830508
"N-glycan metabolism",5,6,1,2,1,Pamidronate,2224; 9453,0.333333333333333,0.2
"Nucleotide interconversion",157,163,1,1,2,Capecitabine; Methotrexate,7298,0.00613496932515337,0.00636942675159236
"Pentose phosphate pathway",28,26,3,1,1,Methotrexate,5226,0.0384615384615385,0.107142857142857
"Purine synthesis",11,11,2,1,1,Methotrexate,471,0.0909090909090909,0.181818181818182
"Pyrimidine catabolism",28,31,5,3,1,Capecitabine,1806; 1890; 978,0.0967741935483871,0.178571428571429
"Pyruvate metabolism",28,51,2,1,1,Methotrexate,216,0.0196078431372549,0.0714285714285714
"Sphingolipid metabolism",121,142,2,1,1,Methotrexate,2717,0.00704225352112676,0.0165289256198347
"Starch and sucrose metabolism",40,35,3,1,1,Trastuzumab deruxtecan,2548,0.0285714285714286,0.075
"Steroid metabolism",85,64,25,15,23,Abemaciclib; Alpelisib; Anastrozole; Cyclophosphamide; Docetaxel; Everolimus; Exemestane; Fulvestrant; Ixabepilone; Letrozole; Megestrol acetate; Methotrexate; Neratinib; Olaparib; Paclitaxel; Palbociclib; Ribociclib; Sacituzumab govitecan; Thiotepa; Toremifene; Trastuzumab; Trastuzumab deruxtecan; Trastuzumab emtansine,1545; 1551; 1565; 1576; 1584; 1585; 1586; 1588; 3028; 54657; 54658; 54659; 6822; 7364,0.234375,0.294117647058824
"Transport, endoplasmic reticular",35,16,1,1,4,Docetaxel; Methotrexate; Paclitaxel; Trastuzumab deruxtecan,4363,0.0625,0.0285714285714286
"Transport, extracellular",1886,332,735,39,17,Abemaciclib; Alpelisib; Anastrozole; Docetaxel; Everolimus; Ixabepilone; Letrozole; Megestrol acetate; Methotrexate; Neratinib; Olaparib; Paclitaxel; Palbociclib; Toremifene; Trastuzumab deruxtecan; Trastuzumab emtansine; Tucatinib,10257; 10599; 10864; 11309; 113235; 1244; 146802; 206358; 2348; 2350; 28232; 28234; 4363; 5243; 53919; 55244; 55867; 6564; 6566; 6573; 6579; 6580; 6582; 6822; 85320; 8647; 8714; 9356; 9376; 9429,0.117469879518072,0.389713679745493
"Transport, golgi apparatus",14,13,1,1,1,Paclitaxel,4864,0.0769230769230769,0.0714285714285714
"Transport, lysosomal",11,34,1,1,1,Methotrexate,206358,0.0294117647058824,0.0909090909090909
"Transport, mitochondrial",255,55,52,2,3,Methotrexate; Paclitaxel; Palbociclib,6566; 6580,0.0363636363636364,0.203921568627451
"Transport, peroxisomal",38,14,2,1,1,Methotrexate,6566,0.0714285714285714,0.0526315789473684
"Tryptophan metabolism",35,51,4,7,9,Abemaciclib; Alpelisib; Anastrozole; Cyclophosphamide; Docetaxel; Letrozole; Methotrexate; Paclitaxel; Toremifene,1543; 1544; 1545; 1557; 216; 3028; 316,0.137254901960784,0.114285714285714
"Urea cycle",28,25,1,1,1,Abemaciclib,5009,0.04,0.0357142857142857
"Valine, leucine, and isoleucine metabolism",33,44,1,1,2,Methotrexate; Paclitaxel,3028,0.0227272727272727,0.0303030303030303
"Vitamin A metabolism",17,42,3,4,4,Anastrozole; Fulvestrant; Methotrexate; Sacituzumab govitecan,216; 54657; 54658; 54659,0.0952380952380952,0.176470588235294
"Vitamin B6 metabolism",11,4,1,1,1,Methotrexate,316,0.25,0.0909090909090909
"Vitamin C metabolism",2,13,1,1,1,Methotrexate,216,0.0769230769230769,0.5
