Var1,Gene,Gene_Symbol,total_rxns,targeted_rxns,targeted_drugs,targeted_drugs_names,targeted_rxns_names
Androgen and estrogen synthesis and metabolism,1571,NA,19,2,1,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1571,NA,19,2,2,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1645,NA,19,0,3,NA,
Androgen and estrogen synthesis and metabolism,1645,NA,19,0,4,NA,
Androgen and estrogen synthesis and metabolism,1109,NA,19,0,5,NA,
Androgen and estrogen synthesis and metabolism,1109,NA,19,0,6,NA,
Androgen and estrogen synthesis and metabolism,6718,NA,19,0,7,NA,
Androgen and estrogen synthesis and metabolism,6820,NA,19,0,8,NA,
Androgen and estrogen synthesis and metabolism,3283,NA,19,0,9,NA,
Androgen and estrogen synthesis and metabolism,3283,NA,19,0,10,NA,
Androgen and estrogen synthesis and metabolism,3283,NA,19,0,11,NA,
Androgen and estrogen synthesis and metabolism,3283,NA,19,0,12,NA,
Androgen and estrogen synthesis and metabolism,3283,NA,19,0,13,NA,
Androgen and estrogen synthesis and metabolism,3283,NA,19,0,14,NA,
Androgen and estrogen synthesis and metabolism,3284,NA,19,0,15,NA,
Androgen and estrogen synthesis and metabolism,3284,NA,19,0,16,NA,
Androgen and estrogen synthesis and metabolism,3284,NA,19,0,17,NA,
Androgen and estrogen synthesis and metabolism,3284,NA,19,0,18,NA,
Androgen and estrogen synthesis and metabolism,3284,NA,19,0,19,NA,
Androgen and estrogen synthesis and metabolism,3284,NA,19,0,20,NA,
Androgen and estrogen synthesis and metabolism,7173,NA,19,0,21,NA,
Androgen and estrogen synthesis and metabolism,7173,NA,19,0,22,NA,
Androgen and estrogen synthesis and metabolism,11283,NA,19,2,23,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,11283,NA,19,2,24,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1557,NA,19,1,25,NA,HMR_2029
Androgen and estrogen synthesis and metabolism,1543,CYP1A1,19,2,1,Scutellarein,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1543,CYP1A1,19,2,1,Scutellarein,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1545,CYP1B1,19,2,1,Scutellarein,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1545,CYP1B1,19,2,1,Scutellarein,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1544,NA,19,2,30,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1544,NA,19,2,31,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1586,NA,19,0,32,NA,
Androgen and estrogen synthesis and metabolism,1586,NA,19,0,33,NA,
Androgen and estrogen synthesis and metabolism,1588,NA,19,2,34,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1588,NA,19,2,35,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1576,NA,19,2,36,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1576,NA,19,2,37,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1553,NA,19,2,38,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1553,NA,19,2,39,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1548,NA,19,2,40,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1548,NA,19,2,41,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1562,NA,19,2,42,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1562,NA,19,2,43,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1558,NA,19,2,44,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1558,NA,19,2,45,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1559,NA,19,2,46,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1559,NA,19,2,47,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1565,NA,19,2,48,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1565,NA,19,2,49,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1572,NA,19,2,50,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1572,NA,19,2,51,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,64816,NA,19,2,52,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,64816,NA,19,2,53,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1577,NA,19,2,54,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1577,NA,19,2,55,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1551,NA,19,2,56,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1551,NA,19,2,57,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,66002,NA,19,2,58,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,66002,NA,19,2,59,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,8288,NA,19,0,60,NA,
Androgen and estrogen synthesis and metabolism,8288,NA,19,0,61,NA,
Androgen and estrogen synthesis and metabolism,9588,NA,19,0,62,NA,
Androgen and estrogen synthesis and metabolism,9588,NA,19,0,63,NA,
Androgen and estrogen synthesis and metabolism,4353,NA,19,0,64,NA,
Androgen and estrogen synthesis and metabolism,4353,NA,19,0,65,NA,
Androgen and estrogen synthesis and metabolism,6715,NA,19,0,66,NA,
Androgen and estrogen synthesis and metabolism,6716,NA,19,0,67,NA,
Androgen and estrogen synthesis and metabolism,412,NA,19,0,68,NA,
Androgen and estrogen synthesis and metabolism,412,NA,19,0,69,NA,
Androgen and estrogen synthesis and metabolism,4025,NA,19,0,70,NA,
Androgen and estrogen synthesis and metabolism,4025,NA,19,0,71,NA,
Androgen and estrogen synthesis and metabolism,1580,NA,19,2,72,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1580,NA,19,2,73,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1555,NA,19,2,74,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1555,NA,19,2,75,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1549,NA,19,2,76,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1549,NA,19,2,77,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1573,NA,19,2,78,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,1573,NA,19,2,79,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,199974,NA,19,2,80,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,199974,NA,19,2,81,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,260293,NA,19,2,82,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,260293,NA,19,2,83,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,29785,NA,19,2,84,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,29785,NA,19,2,85,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,57834,NA,19,2,86,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,57834,NA,19,2,87,NA,RE2235R; HMR_2029
Androgen and estrogen synthesis and metabolism,113612,NA,19,1,88,NA,HMR_2029
Androgen and estrogen synthesis and metabolism,8644,NA,19,0,89,NA,
Androgen and estrogen synthesis and metabolism,8644,NA,19,0,90,NA,
Androgen and estrogen synthesis and metabolism,79644,NA,19,0,91,NA,
Androgen and estrogen synthesis and metabolism,1646,NA,19,0,92,NA,
Androgen and estrogen synthesis and metabolism,1646,NA,19,0,93,NA,
Arachidonic acid metabolism,1571,NA,27,4,94,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
Arachidonic acid metabolism,1571,NA,27,4,95,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
Arachidonic acid metabolism,1571,NA,27,4,96,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
Arachidonic acid metabolism,1571,NA,27,4,97,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
Arachidonic acid metabolism,239,NA,27,0,98,NA,
Arachidonic acid metabolism,239,NA,27,0,99,NA,
